All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,All Social,Facebook,Instagram,LinkedIn,LinkedIn,Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),Google (GBP),YouTube,YouTube,YouTube,TikTok,TikTok,TikTok,TikTok,TikTok,TikTok,TikTok,Community,Community,Pinterest,Pinterest
postAtSpecificTime (YYYY-MM-DD HH:mm:ss),content,OGmetaUrl (url),imageUrls (comma-separated),gifUrl,videoUrls (comma-separated),mediaOptimization (true/false),applyWatermark (true/false),tags (comma-separated),category,followUpComment,type (post/story/reel),type (post/story/reel),pdfTitle,postAsPdf (true/false),eventType (call_to_action/event/offer),actionType (none/order/book/shop/learn_more/call/sign_up),title,offerTitle,startDate (YYYY-MM-DD HH:mm:ss),endDate (YYYY-MM-DD HH:mm:ss),termsConditions,couponCode,redeemOnlineUrl,actionUrl,title,privacyLevel (private/public/unlisted),type (video/short),privacyLevel (everyone/friends/only_me),promoteOtherBrand (true/false),enableComment (true/false),enableDuet (true/false),enableStitch (true/false),videoDisclosure (true/false),promoteYourBrand (true/false),title,notifyAllGroupMembers (true/false),title,link
2026-03-09 06:00:00,"Spring tune-up season is officially here! Our team was out today giving this condenser a deep clean. A clean unit runs more efficiently, lowers your energy bills, and helps prevent breakdowns when you need your AC the most. Ready to get yours serviced? Give us a call - same day service or you don't pay! (813) 922-2209

#TampaHVAC #ACMaintenance #SpringTuneUp #OnTheWayHeatingAndAir #SameDayService #TampaFL #HVACExperts",,https://callontheway.com/social/IMG_5599.jpg,,,TRUE,FALSE,"HVAC,Tampa,OnTheWay",HVAC,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-10 06:00:00,"5 signs your AC needs a tune-up before summer hits:

1. Your energy bills are creeping up
2. Some rooms are warmer than others
3. You hear strange noises when it kicks on
4. It's been over a year since your last service
5. Your system is blowing warm air

Don't wait until it's 95 degrees outside to find out your AC isn't working. Call On The Way Heating & Air today - same day or don't pay! (813) 922-2209

#ACTips #HVACTips #TampaAC #AirConditioning #OnTheWayHeatingAndAir #SameDayOrDontPay",,https://callontheway.com/social/graphic-01-5signs.png,,,TRUE,FALSE,"HVAC,Tampa,OnTheWay",HVAC,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-12 06:00:00,"Take a look inside this duct we inspected today. All that buildup? That's what your family has been breathing. Dirty ducts can cause allergies, poor airflow, and higher energy bills. If you can't remember the last time your ducts were checked, it's probably time. Call us at (813) 922-2209 - we'll take a look!

#DuctCleaning #IndoorAirQuality #TampaHVAC #OnTheWayHeatingAndAir #HealthyHome #AirQuality",,https://callontheway.com/social/IMG_5613.jpg,,,TRUE,FALSE,"HVAC,Tampa,OnTheWay",HVAC,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-14 06:00:00,"We mean what we say - Same Day or Don't Pay! When your AC goes out in the Florida heat, you shouldn't have to wait around. That's why we guarantee same day service on every call. No excuses, no runaround. Just fast, reliable HVAC service from a team that actually shows up. Call us today! (813) 922-2209

#SameDayOrDontPay #TampaHVAC #ACRepair #OnTheWayHeatingAndAir #ReliableService #TampaFL",,https://callontheway.com/social/graphic-02-sameday.png,,,TRUE,FALSE,"HVAC,Tampa,OnTheWay",HVAC,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-16 06:00:00,"Every service call starts with proper diagnostics. Here's our tech checking amp draw on a compressor to make sure everything is running within spec. We don't guess - we measure. That's how we catch small problems before they become big ones. Need your system checked? (813) 922-2209

#HVACDiagnostics #ACRepair #TampaHVAC #OnTheWayHeatingAndAir #ProfessionalService #HVACTech",,https://callontheway.com/social/IMG_5592.jpg,,,TRUE,FALSE,"HVAC,Tampa,OnTheWay",HVAC,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-17 06:00:00,"Quick question Tampa - when's the last time you changed your AC filter? Here's a simple guide:

Standard 1"" filters: Every 30-60 days
4"" media filters: Every 3-6 months
Homes with pets: Change more frequently

A dirty filter makes your system work harder, drives up your bill, and can even cause your AC to freeze up. It's the easiest thing you can do to keep your system healthy. Need help? We're just a call away! (813) 922-2209

#ACFilter #HVACTips #TampaAC #OnTheWayHeatingAndAir #EnergyEfficiency #HomeMaintenanceTips",,https://callontheway.com/social/graphic-03-filter.png,,,TRUE,FALSE,"HVAC,Tampa,OnTheWay",HVAC,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-19 06:00:00,"Another day out in the field keeping Tampa cool! Our tech was out servicing this package unit today - checking refrigerant levels, testing electrical components, and making sure everything is running right. We love what we do, and it shows in our work. Same day service or you don't pay! (813) 922-2209

#HVACLife #TampaHVAC #PackageUnit #OnTheWayHeatingAndAir #SameDayService #ACService",,https://callontheway.com/social/IMG_5403.jpg,,,TRUE,FALSE,"HVAC,Tampa,OnTheWay",HVAC,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21 06:00:00,"Spring is officially here Tampa! That means it's the perfect time to get your AC tuned up before the summer heat arrives. A quick maintenance visit now can save you from an expensive breakdown later. Plus, your system will run more efficiently all summer long. Book your spring tune-up today! (813) 922-2209

#SpringMaintenance #TampaHVAC #ACTuneUp #OnTheWayHeatingAndAir #SameDayOrDontPay #FloridaSpring",,https://callontheway.com/social/graphic-04-spring.png,,,TRUE,FALSE,"HVAC,Tampa,OnTheWay",HVAC,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-23 06:00:00,"This is what a clean evaporator coil looks like! Your evaporator coil is one of the most important parts of your AC system - it's where the actual cooling happens. When it gets dirty, your system has to work overtime and your energy bills go through the roof. Regular maintenance keeps it looking like this. (813) 922-2209

#EvaporatorCoil #ACMaintenance #TampaHVAC #OnTheWayHeatingAndAir #CleanCoil #HVACEducation",,https://callontheway.com/social/IMG_5590.jpg,,,TRUE,FALSE,"HVAC,Tampa,OnTheWay",HVAC,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-24 06:00:00,"Ever wonder how your AC actually keeps you cool? Here's the simple version:

Your AC doesn't create cold air - it removes heat from inside your home and moves it outside. The evaporator coil absorbs heat, the compressor pumps refrigerant, and the condenser coil releases that heat outdoors. Pretty cool, right?

When any part of this process breaks down, you feel it fast. That's where we come in. Same day or don't pay! (813) 922-2209

#HowACWorks #HVACEducation #TampaAC #OnTheWayHeatingAndAir #CoolingSystem #TheMoreYouKnow",,https://callontheway.com/social/graphic-05-howacworks.png,,,TRUE,FALSE,"HVAC,Tampa,OnTheWay",HVAC,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26 06:00:00,"What's hiding in your attic? We see a lot of ductwork that looks like this - buried under insulation, with connections that have come loose over the years. Leaky ducts can waste 20-30% of your cooled air before it ever reaches your rooms. If some rooms in your house are always warmer than others, your ducts might be the problem. (813) 922-2209

#Ductwork #AtticInsulation #TampaHVAC #OnTheWayHeatingAndAir #EnergyWaste #HomeComfort",,https://callontheway.com/social/IMG_5610.jpg,,,TRUE,FALSE,"HVAC,Tampa,OnTheWay",HVAC,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-28 06:00:00,"Don't wait for a breakdown to call us! Book your spring tune-up now and get ahead of the summer rush. Our comprehensive maintenance includes checking refrigerant levels, cleaning coils, testing electrical components, and making sure your system is ready to handle the Florida heat. Same day appointments available! (813) 922-2209

#SpringTuneUp #BookNow #TampaHVAC #OnTheWayHeatingAndAir #SameDayOrDontPay #PreventiveMaintenance",,https://callontheway.com/social/graphic-06-booktune.png,,,TRUE,FALSE,"HVAC,Tampa,OnTheWay",HVAC,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-30 06:00:00,"Our tech getting into the electrical side of this Rheem condenser today. Checking contactors, capacitors, and wiring connections is a critical part of every service call. Loose connections and worn components are some of the most common causes of AC failures. We catch these issues before they leave you without air. (813) 922-2209

#ElectricalDiagnostics #RheemAC #TampaHVAC #OnTheWayHeatingAndAir #ACRepair #PreventiveMaintenance",,https://callontheway.com/social/IMG_5597.jpg,,,TRUE,FALSE,"HVAC,Tampa,OnTheWay",HVAC,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-31 06:00:00,"3 easy things you can do right now to lower your energy bill this spring:

1. Change your AC filter - a clean filter means less work for your system
2. Set your thermostat to 78 when you're home and higher when you're away
3. Keep your outdoor unit clear of debris and vegetation (at least 2 feet of clearance)

Want even bigger savings? Schedule a tune-up and let us optimize your system. Same day or don't pay! (813) 922-2209

#EnergySavings #LowerBills #TampaHVAC #OnTheWayHeatingAndAir #HVACTips #FloridaLiving",,https://callontheway.com/social/graphic-07-energybill.png,,,TRUE,FALSE,"HVAC,Tampa,OnTheWay",HVAC,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-02 06:00:00,"This is what can happen when AC maintenance gets neglected. Water damage, mold growth, and structural issues - all from a system that wasn't properly maintained. The drain line gets clogged, water backs up, and before you know it you've got a much bigger problem than just a warm house. Don't let this happen to you. Regular maintenance is always cheaper than emergency repairs. (813) 922-2209

#MaintenanceMatters #WaterDamage #TampaHVAC #OnTheWayHeatingAndAir #PreventiveMaintenance #ACProblems",,https://callontheway.com/social/IMG_5588.jpg,,,TRUE,FALSE,"HVAC,Tampa,OnTheWay",HVAC,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-04 06:00:00,"Tampa trusts On The Way Heating & Air because we do things the right way. We show up on time, diagnose the real problem, and fix it right the first time. No upselling, no surprises - just honest HVAC service from a local team that cares. Same day or don't pay - that's not just a slogan, it's our promise. (813) 922-2209

#TampaTrusted #HVACExperts #OnTheWayHeatingAndAir #SameDayOrDontPay #LocalBusiness #HonestService",,https://callontheway.com/social/graphic-08-trusted.png,,,TRUE,FALSE,"HVAC,Tampa,OnTheWay",HVAC,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-06 06:00:00,"Here's a look inside your outdoor unit - this is the condenser fan motor. Its job is to pull air across the condenser coil to release heat from your home. When this motor fails, your AC can't cool properly and the compressor can overheat. That's why we check it on every service call. (813) 922-2209

#CondenserFan #InsideYourAC #TampaHVAC #OnTheWayHeatingAndAir #HVACEducation #ACComponents",,https://callontheway.com/social/IMG_5598.jpg,,,TRUE,FALSE,"HVAC,Tampa,OnTheWay",HVAC,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07 06:00:00,"What's the best thermostat setting for Florida? Here's what we recommend:

When you're home: 78 degrees
When you're away: 82-85 degrees
When you're sleeping: 76-78 degrees

Every degree below 78 increases your energy bill by about 3%. A programmable or smart thermostat can handle this automatically and save you hundreds per year. Need help with a thermostat upgrade? Give us a call! (813) 922-2209

#ThermostatTips #EnergySavings #TampaHVAC #OnTheWayHeatingAndAir #SmartHome #FloridaHeat",,https://callontheway.com/social/graphic-09-thermostat.png,,,TRUE,FALSE,"HVAC,Tampa,OnTheWay",HVAC,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-09 06:00:00,"See that buildup on this evaporator coil? That dust and grime is making your AC work way harder than it needs to. A dirty coil reduces airflow, lowers cooling capacity, and drives up your energy bills. When's the last time yours was checked? We can have a tech out today - same day or don't pay! (813) 922-2209

#DirtyCoil #ACMaintenance #TampaHVAC #OnTheWayHeatingAndAir #EvaporatorCoil #SameDayService",,https://callontheway.com/social/IMG_5591.jpg,,,TRUE,FALSE,"HVAC,Tampa,OnTheWay",HVAC,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-11 06:00:00,"Same Day or Don't Pay - that's our promise to every customer. We know how miserable it is when your AC goes out in Florida. You shouldn't have to wait days for someone to show up. When you call On The Way, we're literally on the way. Fast, reliable, and guaranteed. (813) 922-2209

#SameDayOrDontPay #TampaHVAC #ACRepair #OnTheWayHeatingAndAir #GuaranteedService #FloridaHeat",,https://callontheway.com/social/graphic-10-promise.png,,,TRUE,FALSE,"HVAC,Tampa,OnTheWay",HVAC,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13 06:00:00,"Would you want your family breathing air that passes through this? This is the inside of a main duct plenum we inspected. Years of dust, debris, and who knows what else built up inside. Your AC pushes air through these ducts every single day. If your home feels dusty no matter how much you clean, your ducts might be the reason. (813) 922-2209

#DirtyDucts #IndoorAirQuality #TampaHVAC #OnTheWayHeatingAndAir #DuctInspection #HealthyHome",,https://callontheway.com/social/IMG_5615.jpg,,,TRUE,FALSE,"HVAC,Tampa,OnTheWay",HVAC,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-14 06:00:00,"AC not cooling? Before you panic, try these quick checks:

1. Check your thermostat - make sure it's set to COOL and the temperature is set below room temp
2. Check your filter - a clogged filter can restrict airflow
3. Check your outdoor unit - make sure it's not blocked by debris
4. Check your breaker - it may have tripped

Still not working? That's what we're here for. Call On The Way and we'll be there today - same day or don't pay! (813) 922-2209

#ACNotCooling #TroubleshootingTips #TampaHVAC #OnTheWayHeatingAndAir #ACRepair #QuickFix",,https://callontheway.com/social/graphic-11-notcooling.png,,,TRUE,FALSE,"HVAC,Tampa,OnTheWay",HVAC,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-16 06:00:00,"Ever wonder why your AC leaks water? This is your condensate drain line - it carries moisture away from your system. When it gets clogged with algae or debris, water backs up and can overflow into your home. That's why we always check and clear the drain line during maintenance. A little prevention goes a long way! (813) 922-2209

#CondensateDrain #ACLeaking #TampaHVAC #OnTheWayHeatingAndAir #PreventiveMaintenance #WaterDamage",,https://callontheway.com/social/IMG_5593.jpg,,,TRUE,FALSE,"HVAC,Tampa,OnTheWay",HVAC,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-18 06:00:00,"Summer is right around the corner Tampa! Don't wait until it's 95 degrees to find out your AC isn't working. Schedule your tune-up now and avoid the rush. We've seen it every year - the first hot week hits and our phones blow up. Be the smart homeowner who plans ahead. Same day appointments still available! (813) 922-2209

#SummerReady #TampaHVAC #ACTuneUp #OnTheWayHeatingAndAir #SameDayOrDontPay #BeatTheHeat",,https://callontheway.com/social/graphic-12-summer.png,,,TRUE,FALSE,"HVAC,Tampa,OnTheWay",HVAC,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-20 06:00:00,"Behind the panel of your AC unit is where the magic happens. Contactors, capacitors, hard start kits, wiring - all working together to keep your home cool. Our techs know every component inside and out. When something goes wrong, we find it fast and fix it right. (813) 922-2209

#BehindThePanel #ACComponents #TampaHVAC #OnTheWayHeatingAndAir #HVACTech #ExpertRepair",,https://callontheway.com/social/IMG_5405.jpg,,,TRUE,FALSE,"HVAC,Tampa,OnTheWay",HVAC,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,
